,Cities,Country,Latitude,Longitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
142,tuktoyaktuk,ca,69.44,-133.03,57.2,70.0,75.0,14.99
144,hithadhoo,mv,-0.6,73.08,84.79,100.0,0.0,15.79
145,astoria,us,46.19,-123.83,60.8,59.0,1.0,9.17
148,airai,pw,-8.93,125.41,79.02,66.0,8.0,2.37
149,seymchan,ru,62.93,152.39,50.4,46.0,56.0,4.72
150,itarema,br,-2.92,-39.92,78.85,84.0,44.0,11.65
154,makakilo city,us,21.35,-158.09,84.2,69.0,90.0,8.05
155,bambous virieux,mu,-20.34,57.76,68.0,88.0,75.0,5.82
156,bilma,ne,18.69,12.92,71.19,24.0,0.0,3.04
157,mapiripan,co,2.89,-72.13,73.26,99.0,76.0,2.93
161,honningsvag,no,70.98,25.97,41.85,98.0,88.0,16.46
162,karratha,au,-20.74,116.85,85.23,35.0,0.0,5.5
163,doha,kw,25.29,51.53,89.6,70.0,0.0,4.7
168,kedougou,sn,12.56,-12.19,75.51,87.0,20.0,3.71
171,komsomolskiy,ru,67.55,63.78,29.8,97.0,80.0,19.15
172,faanui,pf,-16.48,-151.75,79.93,100.0,80.0,9.64
180,haflong,in,25.18,93.03,74.8,94.0,92.0,1.14
181,longyearbyen,sj,78.22,15.63,35.6,93.0,75.0,3.36
182,roseburg,us,43.22,-123.34,78.8,22.0,1.0,9.17
183,saskylakh,ru,71.97,114.09,35.29,100.0,20.0,6.73
187,kapaa,us,22.08,-159.32,80.6,74.0,40.0,12.75
191,havre-saint-pierre,ca,50.23,-63.6,51.8,100.0,90.0,12.75
192,acapulco,mx,16.86,-99.88,86.0,79.0,75.0,6.62
194,sungaipenuh,id,-2.08,101.38,76.6,79.0,12.0,2.04
195,awbari,ly,26.59,12.77,86.58,17.0,92.0,4.72
196,ostrovnoy,ru,68.05,39.51,36.72,99.0,92.0,15.79
197,aripuana,br,-9.17,-60.63,76.95,89.0,0.0,1.03
199,broken hill,au,-31.97,141.45,57.06,70.0,24.0,4.61
200,khani,ru,41.96,42.96,62.6,93.0,90.0,3.36
203,zhangye,cn,38.94,100.46,48.6,89.0,92.0,3.94
206,dunedin,nz,-45.87,170.5,42.31,80.0,0.0,7.4
207,dapaong,tg,10.86,0.2,72.19,95.0,0.0,3.38
209,sinnamary,gf,5.38,-52.96,79.3,100.0,92.0,12.44
212,cherskiy,ru,68.75,161.3,41.05,95.0,92.0,4.16
213,thompson,ca,55.74,-97.86,55.4,30.0,90.0,8.05
217,knysna,za,-34.04,23.05,44.6,87.0,0.0,3.36
218,price,us,39.6,-110.81,71.6,17.0,1.0,16.11
220,arroyo,us,41.39,-78.88,71.6,88.0,40.0,3.15
223,vao,nc,59.1,26.19,53.46,70.0,8.0,6.62
224,victoria,sc,5.28,115.24,78.8,94.0,90.0,4.7
226,madang,pg,-5.21,145.81,84.43,82.0,8.0,3.94
229,atherton,au,53.52,-2.49,60.8,93.0,90.0,5.82
231,castro,cl,-42.48,-73.76,30.06,100.0,0.0,4.38
232,klaksvik,fo,62.23,-6.59,46.4,100.0,90.0,3.36
233,lincoln,nz,53.23,-0.54,62.6,93.0,92.0,2.24
234,juquitiba,br,-23.93,-47.07,69.8,40.0,0.0,6.93
235,angoche,mz,-16.23,39.91,76.6,100.0,8.0,11.54
237,sao filipe,cv,14.9,-24.5,71.82,99.0,0.0,12.21
239,bosobolo,cd,4.19,19.88,69.75,91.0,8.0,2.93
243,milledgeville,us,33.08,-83.23,71.6,100.0,1.0,6.62
244,fernie,ca,49.5,-115.06,55.4,66.0,75.0,11.41
249,goya,ar,-29.14,-59.27,48.51,99.0,88.0,13.56
250,lumeje,ao,-11.56,20.78,57.51,53.0,0.0,8.41
253,port elizabeth,za,39.31,-74.98,78.8,100.0,1.0,5.06
255,sao joao da barra,br,-21.64,-41.05,74.44,99.0,32.0,19.26
259,yeppoon,au,-23.13,150.74,68.0,28.0,0.0,6.93
262,bethel,us,60.79,-161.76,57.2,50.0,90.0,11.41
263,taksimo,ru,56.36,114.84,46.08,100.0,92.0,3.49
266,chuy,uy,-33.69,-53.46,54.19,100.0,88.0,28.1
270,west bay,ky,50.71,-2.76,59.0,93.0,75.0,1.12
272,verona,us,45.44,10.99,66.2,77.0,0.0,1.12
274,ishim,ru,56.11,69.47,45.9,95.0,92.0,4.72
276,charters towers,au,-20.07,146.27,67.06,52.0,0.0,5.17
279,khash,ir,28.22,61.21,77.5,18.0,0.0,2.93
281,mlonggo,id,-6.53,110.7,83.16,85.0,80.0,4.94
284,manosque,fr,43.83,5.78,62.6,93.0,0.0,3.36
286,chunskiy,ru,56.08,99.63,63.72,48.0,12.0,7.96
287,rio grande,br,-32.03,-52.1,55.62,100.0,88.0,25.08
288,najran,sa,17.54,44.22,80.6,44.0,40.0,8.05
289,sao felix do xingu,br,-6.64,-51.99,82.81,54.0,20.0,4.16
296,kenai,us,60.55,-151.26,62.6,39.0,20.0,9.17
297,kyabe,td,9.45,18.94,76.06,84.0,24.0,4.5
302,buluang,ph,10.47,123.98,80.6,88.0,90.0,4.7
303,smithers,ca,54.78,-127.17,55.4,66.0,75.0,8.05
307,ixtapa,mx,20.71,-105.21,84.2,79.0,90.0,8.05
308,gazli,uz,40.13,63.45,79.93,34.0,32.0,9.98
309,hilo,us,19.71,-155.08,73.4,88.0,90.0,5.82
313,poum,nc,41.28,20.71,55.4,87.0,0.0,4.7
314,sitka,us,37.17,-99.65,85.32,28.0,0.0,14.23
316,kruisfontein,za,-34.0,24.73,51.04,99.0,0.0,6.4
317,akdepe,tm,42.05,59.39,68.0,52.0,0.0,13.87
323,ilebo,cd,-4.33,20.59,73.81,88.0,0.0,0.47
325,aklavik,ca,68.22,-135.01,62.6,45.0,75.0,10.29
327,carauari,br,-4.88,-66.9,73.98,98.0,8.0,2.48
329,north bend,us,43.41,-124.22,60.8,59.0,1.0,10.29
330,beitbridge,zw,-22.21,29.99,55.81,80.0,0.0,3.94
331,ginir,et,7.14,40.71,56.7,87.0,0.0,4.61
332,havoysund,no,71.0,24.66,41.0,93.0,75.0,18.34
336,port hawkesbury,ca,45.62,-61.36,51.8,81.0,1.0,6.93
338,hambantota,lk,6.12,81.12,80.29,100.0,68.0,16.02
340,magnolia,us,33.27,-93.24,84.2,69.0,1.0,3.38
341,paso de carrasco,uy,-34.86,-56.05,51.8,81.0,75.0,14.99
346,bhadasar,in,28.3,74.31,97.56,21.0,0.0,5.5
347,yangambi,cd,0.77,24.47,72.72,96.0,20.0,2.15
348,ayia marina,gr,37.75,23.53,75.2,31.0,0.0,6.93
349,kavaratti,in,10.57,72.64,77.31,100.0,92.0,15.01
352,verkhoyansk,ru,67.55,133.39,46.71,88.0,88.0,9.53
353,butaritari,ki,3.07,172.79,83.52,100.0,32.0,8.08
355,cidreira,br,-30.17,-50.22,59.41,99.0,100.0,14.0
356,saint george,bm,39.45,22.34,66.2,45.0,0.0,5.82
359,comodoro rivadavia,ar,-45.87,-67.48,33.8,64.0,0.0,6.93
360,mabaruma,gy,8.2,-59.78,76.32,98.0,88.0,6.73
363,trelew,ar,-43.25,-65.31,25.3,86.0,0.0,5.73
365,iqaluit,ca,63.75,-68.52,28.4,86.0,90.0,14.99
367,lavrentiya,ru,65.58,-170.99,32.4,98.0,92.0,15.23
368,taltal,cl,-25.41,-70.49,45.55,90.0,12.0,2.37
370,matranovak,hu,48.04,19.98,61.56,87.0,12.0,1.92
371,mmabatho,za,-25.85,25.61,37.4,69.0,0.0,4.7
373,vila franca do campo,pt,37.72,-25.43,64.4,82.0,20.0,8.05
375,beringovskiy,ru,63.05,179.32,35.91,95.0,92.0,7.96
379,bandarbeyla,so,9.49,50.81,80.01,82.0,92.0,25.08
381,mendi,et,9.8,35.1,60.94,98.0,92.0,2.59
382,soldotna,us,60.48,-151.07,62.6,41.0,1.0,13.87
386,ancud,cl,-41.87,-73.83,33.4,84.0,0.0,5.73
388,east london,za,-33.02,27.91,62.19,100.0,0.0,7.63
390,hudson bay,ca,52.86,-102.4,46.9,98.0,100.0,10.2
393,batemans bay,au,-35.71,150.18,55.18,97.0,100.0,13.44
396,biskamzha,ru,53.45,89.53,63.0,59.0,0.0,2.71
401,port alfred,za,-33.59,26.89,55.18,100.0,0.0,5.61
406,ayan,ru,40.67,33.6,40.6,85.0,0.0,2.15
412,eureka,us,40.8,-124.16,59.0,62.0,1.0,14.99
415,dubovka,ru,49.06,44.83,33.8,69.0,0.0,2.24
418,ahipara,nz,-35.17,173.16,58.32,100.0,92.0,24.74
420,clemson,us,34.69,-82.84,73.4,94.0,1.0,6.93
427,lagoa,pt,37.14,-8.45,59.0,77.0,0.0,8.05
430,alofi,nu,-19.06,-169.92,77.0,78.0,75.0,14.99
431,ayr,au,55.46,-4.63,57.2,100.0,40.0,2.24
435,novobelokatay,ru,55.7,58.96,36.55,68.0,0.0,8.63
439,torbay,ca,47.66,-52.73,39.2,100.0,90.0,4.7
443,bukachacha,ru,52.99,116.91,81.1,42.0,0.0,6.51
444,kurdzhinovo,ru,43.99,40.96,44.46,96.0,76.0,2.04
445,tolmachevo,ru,55.36,38.22,44.6,70.0,0.0,6.71
447,natal,br,-5.81,-35.21,75.2,88.0,20.0,5.82
449,kodino,ru,63.72,39.64,47.8,89.0,68.0,9.75
450,clyde river,ca,70.47,-68.59,30.2,92.0,90.0,16.11
452,kodiak,us,39.95,-94.76,87.8,52.0,1.0,11.41
453,severo-kurilsk,ru,50.68,156.12,42.4,88.0,76.0,8.97
455,chara,ru,39.42,22.43,66.2,45.0,0.0,5.82
456,kungurtug,ru,50.6,97.53,47.97,54.0,0.0,5.5
457,provideniya,ru,64.42,-173.23,32.95,95.0,92.0,16.58
458,muli,mv,22.62,71.45,86.14,69.0,0.0,9.64
461,magugu,tz,-4.02,35.77,60.48,97.0,76.0,2.93
463,kisarawe,tz,-6.9,39.07,73.4,100.0,20.0,4.7
465,balabac,ph,7.99,117.06,81.45,100.0,80.0,13.78
479,lompoc,us,34.64,-120.46,69.8,43.0,1.0,12.75
480,sur,om,22.57,59.53,88.11,80.0,0.0,5.17
482,amalfi,co,6.91,-75.07,72.36,97.0,64.0,1.48
484,pisco,pe,-13.71,-76.2,64.4,77.0,90.0,10.29
488,kudahuvadhoo,mv,2.67,72.89,84.87,96.0,48.0,17.58
489,bonavista,ca,48.65,-53.11,40.15,93.0,88.0,3.71
490,satipo,pe,-11.26,-74.64,63.81,96.0,8.0,0.58
491,broome,au,52.47,1.45,64.4,93.0,88.0,3.36
493,marawi,sd,8.0,124.29,75.79,94.0,88.0,3.04
494,touros,br,-5.2,-35.46,74.89,98.0,0.0,8.63
495,souillac,mu,45.6,-0.6,59.0,87.0,0.0,2.24
496,port victoria,ke,-34.5,137.49,60.66,87.0,64.0,7.96
497,pionerskiy,ru,61.2,62.86,36.27,92.0,88.0,5.73
502,ilulissat,gl,69.22,-51.1,33.8,64.0,12.0,2.24
507,tessalit,ml,20.2,1.01,89.73,17.0,88.0,6.73
511,kalaleh,ir,37.38,55.49,64.08,97.0,88.0,4.5
512,fort nelson,ca,58.81,-122.69,66.2,34.0,75.0,11.41
513,kahului,us,20.89,-156.47,84.2,51.0,40.0,19.46
517,lebu,cl,8.96,38.73,43.65,93.0,36.0,2.59
518,madimba,tz,4.42,9.93,73.4,100.0,75.0,4.7
520,dongsheng,cn,29.72,112.52,68.85,94.0,92.0,7.74
522,katherine,au,-14.47,132.26,78.8,47.0,0.0,16.11
523,lagos,ng,6.46,3.39,78.94,95.0,36.0,6.96
524,flinders,au,-34.58,150.85,59.0,51.0,90.0,20.8
525,te anau,nz,-45.41,167.72,40.69,88.0,68.0,2.71
527,berja,es,36.85,-2.95,64.4,88.0,0.0,3.36
528,lulea,se,65.58,22.15,51.8,66.0,0.0,6.93
529,chake chake,tz,-5.25,39.77,78.21,100.0,12.0,11.99
533,paamiut,gl,61.99,-49.67,37.26,93.0,92.0,39.84
535,mahuva,in,21.09,71.76,84.43,100.0,44.0,12.1
539,ordu,tr,40.98,37.88,48.96,88.0,0.0,1.03
540,shingu,jp,33.72,135.99,73.4,53.0,20.0,6.93
544,changde,cn,29.04,111.68,65.25,100.0,92.0,5.95
548,hervey bay,au,-25.3,152.85,66.51,98.0,0.0,7.07
551,sistranda,no,63.73,8.83,46.4,93.0,0.0,4.7
552,barela,in,23.1,80.05,88.75,50.0,0.0,7.96
554,manyana,bw,-35.26,150.51,59.0,51.0,90.0,20.8
555,pimenta bueno,br,-11.68,-61.19,73.26,90.0,20.0,3.6
556,ugoofaaru,mv,5.67,73,83.61,99.0,80.0,20.27
559,kununurra,au,-15.77,128.74,80.6,21.0,0.0,13.87
560,mumbwa,zm,-14.99,27.06,48.51,73.0,0.0,4.16
562,lensk,ru,60.71,114.91,45.36,99.0,92.0,3.15
563,maraa,br,-1.83,-65.37,74.61,97.0,76.0,5.06
573,aloleng,ph,16.13,119.78,88.2,93.0,8.0,8.19
574,kawalu,id,-7.38,108.21,79.56,63.0,8.0,2.37
578,herrin,us,37.8,-89.03,82.4,83.0,1.0,4.7
581,sao marcos,br,-28.97,-51.07,57.51,100.0,92.0,4.61
584,meulaboh,id,4.14,96.13,84.87,100.0,0.0,3.49
591,lexington,us,38.05,-84.5,77.0,88.0,40.0,3.36
594,jadu,ly,31.95,12.03,68.05,51.0,0.0,9.08
595,luderitz,na,-26.65,15.16,52.93,88.0,0.0,6.73
597,champerico,gt,16.38,-93.6,77.0,78.0,75.0,1.92
602,pauini,br,-7.71,-67,72.36,97.0,12.0,5.39
605,itaunja,in,27.08,80.92,78.8,78.0,90.0,16.11
612,evensk,ru,61.92,159.24,41.76,94.0,0.0,4.38
614,povenets,ru,62.85,34.83,52.02,73.0,0.0,7.63
615,somerset,us,37.09,-84.6,75.2,83.0,1.0,3.6
618,walvis bay,na,-22.95,14.51,46.4,70.0,0.0,6.93
622,imbituba,br,-28.24,-48.67,71.6,73.0,0.0,6.93
623,nacala,mz,-14.56,40.69,73.71,100.0,0.0,11.1
628,kailua,us,21.39,-157.74,84.2,69.0,90.0,8.05
631,porto novo,cv,-23.68,-45.44,64.4,63.0,0.0,3.71
632,arraial do cabo,br,-22.97,-42.02,71.46,92.0,0.0,17.69
637,maniitsoq,gl,65.42,-52.9,32.76,97.0,92.0,5.5
639,llaillay,cl,-32.84,-70.95,46.4,93.0,0.0,4.7
642,cortez,us,37.35,-108.58,80.6,7.0,1.0,10.29
643,angouleme,fr,45.65,0.15,59.0,93.0,0.0,5.82
645,victor harbor,au,-35.55,138.62,59.0,41.0,0.0,5.82
647,richards bay,za,-28.77,32.06,59.58,95.0,8.0,3.38
648,okhotsk,ru,59.36,143.24,51.76,68.0,80.0,10.2
653,axim,gh,4.87,-2.24,81.36,98.0,76.0,6.96
654,kirovskiy,kz,45.09,133.51,77.31,66.0,0.0,5.17
663,bariri,br,-22.07,-48.74,69.21,66.0,80.0,4.16
666,ojinaga,mx,29.56,-104.41,89.73,24.0,68.0,6.51
668,north myrtle beach,us,33.83,-78.68,82.4,88.0,1.0,8.05
669,beidao,cn,34.57,105.89,66.96,77.0,8.0,0.58
671,sechenovo,ru,55.22,45.89,41.58,67.0,24.0,10.76
674,adrar,dz,27.87,-0.29,86.0,23.0,36.0,9.17
675,imphal,in,24.8,93.94,75.43,92.0,64.0,2.59
677,nuuk,gl,64.17,-51.74,35.6,93.0,92.0,42.5
681,morros,br,-2.87,-44.04,77.0,88.0,75.0,6.93
684,shagonar,ru,51.54,92.92,55.9,59.0,0.0,2.71
687,tafresh,ir,34.69,50.01,59.41,55.0,0.0,2.04
689,bubaque,gw,11.28,-15.83,77.0,83.0,0.0,5.82
693,moron,mn,10.49,-68.2,82.4,74.0,40.0,3.36
694,coihaique,cl,-45.58,-72.07,19.4,92.0,0.0,2.24
697,sao jose de ribamar,br,-2.56,-44.05,77.0,88.0,75.0,6.93
699,clarksburg,us,39.28,-80.34,71.6,100.0,90.0,5.82
700,sira,in,13.74,76.91,74.35,98.0,88.0,4.5
704,sernur,ru,56.93,49.15,40.5,66.0,0.0,9.08
707,vredendal,za,-31.68,18.49,52.2,100.0,80.0,2.93
710,tevaitoa,pf,-16.78,-151.5,80.19,100.0,0.0,6.73
716,atar,mr,20.52,-13.05,74.61,54.0,0.0,3.71
719,manta,ec,45.1,24.1,58.6,96.0,20.0,5.17
720,ulladulla,au,-35.36,150.48,59.0,51.0,90.0,20.8
723,bela vista,br,-22.11,-56.53,56.52,100.0,92.0,8.63
738,pindiga,ng,9.98,10.93,76.5,75.0,8.0,9.75
740,punta gorda,bz,26.93,-82.05,82.4,83.0,1.0,5.82
750,kunya,ru,12.22,8.53,84.2,66.0,0.0,10.29
756,sorland,no,67.67,12.69,45.81,98.0,88.0,16.24
757,port shepstone,za,-30.74,30.45,62.82,85.0,0.0,4.94
759,yumen,cn,40.29,97.04,65.25,23.0,0.0,14.45
761,santa catarina de tepehuanes,mx,25.34,-105.72,57.43,90.0,80.0,2.37
762,lorengau,pg,-2.02,147.27,81.72,100.0,68.0,1.03
765,kavieng,pg,-2.57,150.8,78.4,100.0,48.0,6.51
766,huanren,cn,41.26,125.37,76.41,59.0,0.0,3.71
769,vardo,no,39.62,-77.74,80.6,88.0,75.0,8.05
773,jacareacanga,br,-6.22,-57.76,77.85,86.0,32.0,2.04
774,mandalgovi,mn,45.76,106.27,52.66,41.0,24.0,24.07
778,deputatskiy,ru,69.3,139.9,42.12,71.0,36.0,6.73
791,mbale,ug,1.07,34.17,60.4,97.0,68.0,2.37
796,banda aceh,id,5.56,95.32,86.22,70.0,0.0,0.92
797,novochernorechenskiy,ru,56.27,91.08,68.68,49.0,0.0,6.4
798,lemgo,de,52.03,8.9,66.2,100.0,90.0,10.29
801,zhanaozen,kz,43.35,52.85,57.79,39.0,0.0,10.54
802,kysyl-syr,ru,63.9,122.77,53.91,50.0,36.0,11.21
807,catabola,ao,-12.14,17.29,48.25,69.0,0.0,2.93
811,nouakchott,mr,18.08,-15.98,71.1,89.0,0.0,16.8
815,shaunavon,ca,49.65,-108.41,46.35,97.0,80.0,19.26
821,pteleos,gr,39.05,22.95,66.2,45.0,0.0,5.82
825,jabinyanah,tn,35.03,10.91,67.15,83.0,44.0,6.73
829,jumla,np,29.28,82.18,44.65,92.0,0.0,2.04
830,kamalpur,in,24.17,91.81,77.0,94.0,40.0,2.71
831,esperance,au,10.24,-61.45,80.6,78.0,20.0,11.41
838,zhigansk,ru,66.77,123.37,43.92,76.0,92.0,12.77
839,talnakh,ru,69.49,88.39,36.72,86.0,68.0,8.08
841,bulembu,sz,-25.95,31.13,57.2,54.0,0.0,5.82
842,belyy yar,ru,53.6,91.39,57.2,62.0,0.0,2.24
851,saldanha,za,41.42,-6.55,50.95,97.0,92.0,1.14
858,nevers,fr,46.99,3.16,53.6,93.0,0.0,2.71
859,mahajanga,mg,-15.72,46.32,69.8,83.0,40.0,4.7
860,tiksi,ru,71.64,128.87,30.96,96.0,92.0,14.23
867,knoxville,us,35.96,-83.92,78.8,65.0,75.0,4.7
870,dingle,ie,11.0,122.67,80.37,97.0,88.0,7.07
877,sainte-rose,re,45.61,-73.79,78.8,69.0,90.0,8.05
879,chaumont,fr,48.11,5.14,60.8,93.0,90.0,2.71
884,alyangula,au,-13.85,136.42,80.82,84.0,8.0,13.67
886,raudeberg,no,61.99,5.14,57.2,93.0,0.0,4.7
894,alugan,ph,12.22,125.48,82.98,100.0,44.0,3.94
897,novopokrovka,ru,45.85,134.51,77.58,61.0,0.0,4.61
901,caxambu,br,-21.98,-44.93,45.36,84.0,0.0,2.48
904,tromso,no,69.65,18.96,42.8,87.0,90.0,14.99
907,mount gambier,au,-37.83,140.78,54.1,88.0,64.0,3.38
908,myanaung,mm,18.28,95.32,77.5,100.0,64.0,4.61
918,jawhar,so,19.91,73.23,82.98,81.0,64.0,3.49
921,grants pass,us,42.44,-123.33,78.8,39.0,0.0,5.82
939,haapiti,pf,-17.57,-149.87,82.4,65.0,75.0,14.99
942,barreirinha,br,-2.8,-57.07,80.46,74.0,8.0,5.17
944,oyama,jp,36.31,139.8,71.6,56.0,75.0,1.12
946,halifax,ca,44.65,-63.58,71.6,78.0,75.0,3.36
947,seoul,kr,37.57,126.98,78.8,41.0,0.0,3.36
950,srikakulam,in,18.29,83.89,85.15,100.0,8.0,2.59
954,yerbogachen,ru,61.28,108.01,44.2,100.0,92.0,9.08
958,jalu,ly,29.03,21.55,70.11,40.0,0.0,9.98
960,nakusp,ca,50.24,-117.8,50.4,61.0,80.0,1.59
962,santa cruz,cr,36.97,-122.03,77.0,38.0,1.0,12.75
964,valdez,ec,61.13,-146.35,62.6,42.0,20.0,10.29
973,mitchell,us,43.71,-98.03,75.2,57.0,75.0,26.4
974,saltillo,mx,25.42,-100.99,80.6,34.0,5.0,11.41
980,birjand,ir,32.86,59.22,77.0,16.0,0.0,16.11
981,usinsk,ru,66.0,57.56,35.01,79.0,36.0,10.09
989,husavik,is,50.56,-96.99,60.94,63.0,80.0,19.82
999,dali,cn,25.6,100.24,70.3,72.0,56.0,1.7
1001,fairbanks,us,64.84,-147.72,62.6,51.0,75.0,4.7
1002,laguna,br,27.52,-110.01,104.0,14.0,75.0,17.22
